question,A,B,C,D,answer
ما هي وظيفة المكثف في دائرة الرنين؟,زيادة المقاومة,تخفيض الجهد,زيادة التيار,تخزين وإطلاق الطاقة بشكل دوري,D
ما هو مبدأ عمل المحرك الخطي؟,تحويل الحركة الدورانية إلى خطية,تحويل الطاقة الحرارية إلى حركة,تحويل الطاقة الكهربائية إلى حركة خطية مباشرة,تحويل الطاقة المغناطيسية إلى كهربائية,C
ما هي وحدة قياس القوة الدافعة الكهربائية؟,أمبير,واط,أوم,فولت,D
ما هو مبدأ عمل المصباح الكهربائي التقليدي (المتوهج)؟,إثارة غاز بواسطة تيار كهربائي,استخدام الديودات الباعثة للضوء,تحويل الطاقة المغناطيسية إلى ضوء,تسخين فتيلة معدنية حتى التوهج,D
ما هي وظيفة المحول في نظام نقل الطاقة الكهربائية؟,زيادة التيار,تخفيض التردد,رفع الجهد لتقليل الفقد في خطوط النقل,تخزين الطاقة الزائدة,C
ما هو مبدأ عمل البطارية الليثيوم أيون؟,التفاعل الكيميائي للرصاص,تحلل الماء كهربائياً,الانشطار النووي للليثيوم,انتقال أيونات الليثيوم بين الأقطاب,D
ما هي وحدة قياس الطاقة الكهربائية في النظام الدولي؟,واط,جول,كيلوواط ساعة,فولت أمبير,B
ما هو مبدأ عمل المكبر الصوتي (السماعة)؟,تحويل الصوت إلى إشارة كهربائية,تكبير الإشارة الكهربائية فقط,تخزين الطاقة الصوتية,تحويل الإشارة الكهربائية إلى اهتزازات صوتية,D
ما هي وظيفة الدايود في دائرة تقويم التيار؟,زيادة الجهد,السماح بمرور التيار في اتجاه واحد فقط,تخفيض التيار,تخزين الشحنات,B
ما هو مبدأ عمل المحرك الكهربائي عديم الفرش (Brushless Motor)؟,استخدام فرش كربونية للتلامس,الاعتماد على التيار المستمر فقط,استخدام دوائر إلكترونية لتبديل القطبية,استخدام المغناطيس الدائم للدوران,C
ما هي وحدة قياس المقاومة المغناطيسية؟,هنري/متر,تسلا/أمبير,ويبر/متر,أمبير/ويبر,D
ما هو مبدأ عمل المحلل الطيفي الكهربائي؟,قياس شدة التيار الكهربائي,تحليل المواد الكيميائية,قياس المجال المغناطيسي,تحليل الإشارات الكهربائية إلى مكوناتها الترددية,D
ما هي وظيفة المكثف في دائرة مذبذب LC؟,زيادة التردد,تخفيض الجهد,تخزين وإطلاق الطاقة الكهربائية دورياً,تحويل التيار المتردد إلى مستمر,C
ما هو مبدأ عمل المولد الكهربائي التوربيني؟,تحويل الطاقة الكيميائية إلى كهربائية,تحويل الطاقة النووية إلى كهربائية,تحويل الطاقة الشمسية إلى كهربائية,تحويل الطاقة الحركية الدورانية إلى طاقة كهربائية,D
ما هي وحدة قياس الحث المتبادل؟,فاراد,أوم,تسلا,هنري,D
ما هو مبدأ عمل الترانزستور ثنائي القطبية؟,تخزين الشحنات الكهربائية,توليد الترددات العالية,التحكم في تيار كبير بواسطة تيار صغير,قياس الجهد الكهربائي,C
ما هي وظيفة المرحل (Relay) في الدوائر الكهربائية؟,تخزين الطاقة,قياس الجهد,توليد التيار المتردد,التحكم في دوائر ذات تيار عالٍ باستخدام إشارات ضعيفة,D
ما هو مبدأ عمل المكثف الكهربائي الكيميائي؟,توليد التيار الكهربائي,تحويل التيار المتردد إلى مستمر,تخزين الشحنات الكهربائية باستخدام طبقة أكسيد,قياس المقاومة الكهربائية,C
ما هي وحدة قياس الطاقة الكهربائية المستهلكة في المنازل؟,جول,فولت أمبير,واط ثانية,كيلوواط ساعة,D
ما هو مبدأ عمل المحرك الكهربائي التزامني؟,الدوران بسرعة أقل من المجال المغناطيسي,الدوران بنفس سرعة المجال المغناطيسي الدوار,الدوران بسرعة أكبر من المجال المغناطيسي,الدوران بسرعة عشوائية,B
ما هي وظيفة المنصهر (Fuse) في الدوائر الكهربائية؟,زيادة التيار,تخفيض الجهد,حماية الدائرة من التيار الزائد,تخزين الطاقة,C
ما هو مبدأ عمل البطارية القلوية؟,انشطار الذرات,تحلل الماء كهربائياً,امتصاص الطاقة الشمسية,تفاعل الزنك مع هيدروكسيد البوتاسيوم,D
ما هي وحدة قياس السعة الحرارية الكهربائية؟,واط/كلفن,فولت/كلفن,أمبير/كلفن,جول/كلفن,D
ما هو مبدأ عمل المقاومة الحرارية (الثرمستور)؟,تغير الجهد مع تغير درجة الحرارة,تغير التيار مع تغير درجة الحرارة,تغير المقاومة مع تغير درجة الحرارة,تغير التردد مع تغير درجة الحرارة,C
ما هي وظيفة الملف في دائرة الرنين؟,زيادة الجهد,تخفيض التيار,تحويل التيار المتردد إلى مستمر,تخزين وإطلاق الطاقة المغناطيسية,D
ما هو مبدأ عمل المحول الكهربائي الرافع للجهد؟,زيادة التيار في الملف الابتدائي,تقليل عدد لفات الملف الثانوي,زيادة المقاومة في الملف الثانوي,زيادة عدد لفات الملف الثانوي عن الابتدائي,D
ما هي وحدة قياس كثافة التيار الكهربائي؟,فولت/متر,واط/متر مكعب,كولوم/متر مكعب,أمبير/متر مربع,D
ما هو مبدأ عمل الخلية الكهروضوئية؟,تحويل الحرارة إلى كهرباء,تحويل الصوت إلى كهرباء,تحويل الضغط إلى كهرباء,تحويل الضوء مباشرة إلى تيار كهربائي,D
ما هي وظيفة المكثف في دائرة تنعيم التيار المستمر؟,زيادة التيار,تخفيض الجهد,تقليل تموج التيار,زيادة التردد,C
ما هو مبدأ عمل المحرك الكهربائي ذو التيار المستمر؟,تحويل الطاقة الحرارية إلى حركة,استخدام الضغط الهيدروليكي,الاعتماد على قوة الجاذبية,تفاعل المجالات المغناطيسية بين الجزء الثابت والدوار,D
