question,A,B,C,D,answer
ما هو العنصر الأساسي الذي تركز عليه نظرية الحقل الكمومي؟,التفاعل الكمومي بين الجسيمات,التفاعل الكمومي بين الحقول,التفاعل الكمومي بين الجسيمات والحقول,التفاعل الكمومي بين الطاقة والمادة,C
ما هو المفهوم الأساسي في نظرية الحقل الكمومي؟,تفسير الجسيمات كموجات,تفسير الحقول كجسيمات,تفسير الجسيمات كنقاط,تفسير الحقول كموجات,B
ما هو الهدف الرئيسي لنظرية الحقل الكمومي؟,وصف السلوك الدقيق للجسيمات والحقول على المستوى الكمومي,وصف السلوك الدقيق للجسيمات والحقول على المستوى الكلاسيكي,وصف السلوك الدقيق للجسيمات على المستوى الكمومي فقط,وصف السلوك الدقيق للحقول على المستوى الكمومي فقط,A
ما هو المجال الذي تطبق فيه نظرية الحقل الكمومي؟,الفيزياء النووية والفيزياء الجزيئية,الفيزياء النووية فقط,الفيزياء الفلكية,الفيزياء الكلاسيكية,A
ما هو الفرع من فروع علم الفلك الذي يدرس نيازك النجوم الأخرى النجمية؟,علم الفلك الراديوي,علم فلك الأشعة تحت الحمراء,علم الفلك البصري,علم فلك الأشعة فوق البنفسجية,C
أي من التالي ليس أداة تستخدم في علم الفلك البصري؟,التلسكوبات المرتبطة بجهاز اقتران الشحنة,مطياف بصري,مسبار روسي لتوقيت أشعة إكس,تلسكوبات شيرنكوف الرئيسية للأشعة غاما,C
ما هو الفرق بين الغلاف الجوي للأرض والتلسكوبات الفضائية من حيث رصد الطيف الكهرومغناطيسي؟,يعيق الغلاف الجوي الرصد البصري بينما تسمح التلسكوبات الفضائية برصده,يعيق الغلاف الجوي الرصد بالأشعة تحت الحمراء بينما تسمح التلسكوبات الفضائية برصده,يعيق الغلاف الجوي الرصد بالأشعة فوق البنفسجية بينما تسمح التلسكوبات الفضائية برصده,لا يوجد فرق بينهما,A
ما هي الظاهرة التي تحدث عندما يمر القمر بين الأرض والشمس ويحجب جزءًا أو كل ضوء الشمس؟,الخسوف الكلي,الكسوف الجزئي,الانتقال العبوري,الاعتراف الشمسي,B
ما هو العنصر الأساسي لتكوين النجوم؟,الغازات الكونية,المعادن الفلزية,البلازما,الجسيمات العضوية,A
ما هي الظاهرة التي تحدث عندما تتغير القمر لونه إلى اللون الأحمر الداكن خلال الخسوف الكلي؟,التجديف,التدرج,التحجير,التحول,C
ما هو العنصر الرئيسي في تركيب الشمس؟,النيتروجين,الهيدروجين,الأكسجين,الكربون,B
ما هو المرحلة التي تسبق المرحلة البيضاوية في تطور النجوم؟,المرحلة النيوترونية,المرحلة البروتونية,المرحلة الجزيئية,المرحلة الغازية,C
ما هو اسم النجم الذي يشبه الشمس من حيث الحجم والسطوع والتكوين؟,ألفا القنطورس,النجم الزهرة,النجم العظيم,النجم السيارة,B
ما هو الجسم الفلكي الذي يعتبر أقرب جارٍ للأرض؟,القمر,الكويكب,المذنب,الكوكب الزهرة,A
ما هي الكوكبة التي تتميز بوجود مجرتين تسمى المجرتين السحابيتين؟,الجبار,الكنوز,الميزان,الكمبيوتر,A
ما هو العنصر الذي يتألف منه الأجرام السماوية مثل الكواكب والنجوم؟,الغبار الفلكي,الهيدروجين,الهيليوم,المعادن الثقيلة,B
ما هي الظاهرة التي تحدث عندما تكون زاوية الشمس 90 درجة فوق الأفق في النصف الشمالي للأرض؟,الانقلاب الصيفي,الانقلاب الشتوي,التساوي,النقصان,A
ما هي إحدى الأمثلة المبكرة على أدوات الفيزياء التي وسعت إمكانيات الفيزيائيين في المجال الطبي؟,المجهر,المفاعل النووي,التلسكوب,البوصلة,A
أي مما يلي ليس تقسيمًا رئيسيًا للفيزياء الطبية؟,فيزياء العلاج الإشعاعي,فيزياء الجسيمات,فيزياء التصوير الشعاعي التشخيصي,فيزياء الرنين المغناطيسي,B
أي من التخصصات التالية لا يتطلب عادة تدريبًا بعد المرحلة الجامعية في الفيزياء الطبية؟,فيزياء العالج الإشعاعي,فيزياء الأشعة التشخيصية,فيزياء الليزر,فيزياء الطب النووي,C
ما هي التقنية التي تستخدم الأشعة السينية لإنتاج صورة مقطعية ثلاثية الأبعاد للأنسجة الداخلية في الجسم؟,التصوير بالأشعة السينية,الرنين المغناطيسي,التصوير بالموجات فوق الصوتية,التصوير بالأشعة السينية المقطعية,D
ما هو الجهاز الذي يستخدم لتوليد الأشعة السينية وتوجيهها نحو المنطقة المراد تصويرها؟,المصدر الطبي للأشعة السينية,الديود السيني,السينوغراف,الماسح الضوئي للأشعة السينية,A
ما هو العنصر الذي يستخدم في إنتاج الصور الطبية باستخدام الرنين المغناطيسي؟,الزئبق,النيكل,الهيدروجين,الأكسجين,C
ما هي التقنية التي تستخدم الموجات الصوتية لإنتاج صور للأنسجة الداخلية في الجسم؟,التصوير بالأشعة السينية,الرنين المغناطيسي,التصوير بالموجات فوق الصوتية,التصوير بالأشعة السينية المقطعية,C
ما هو الجهاز الذي يقيس نسبة الامتصاص للأشعة السينية بواسطة الأنسجة الداخلية في الجسم؟,جهاز الكاميرا السينية,جهاز تصوير الأشعة السينية,جهاز قياس الكثافة البصرية,الجهاز الماسح الضوئي,B
ما هي الجرعة الطبية القياسية للأشعة السينية التي يتم توجيهها إلى المريض؟,10 رنتغن,100 رنتغن,1000 رنتغن,10000 رنتغن,A
ما هو الجهاز الذي يستخدم لقياس تركيز الجسيمات الإشعاعية في الأنسجة الداخلية في الجسم؟,مقياس الإشعاع,جهاز الموجات الصوتية,مقياس الأشعة السينية,جهاز قياس التوتر السطحي,A
ما هو العنصر الذي يستخدم في تصنيع أجهزة الرنين المغناطيسي لتكوين المجال المغناطيسي؟,النيكل,المغناطيس الدائم,الحديد,الكوبالت,B
ما هو التقنية التي تستخدم الأشعة السينية لتدمير الخلايا السرطانية؟,التصوير بالأشعة السينية,العلاج بالأشعة السينية,التصوير بالموجات فوق الصوتية,الرنين المغناطيسي,B
ما هو العنصر الذي يستخدم في إنتاج الأشعة السينية؟,اليورانيوم,الزئبق,التيتانيوم,التنغستن,D
وفقًا لنظرية الأوتار الفائقة، ما هو الجسيم المسؤول عن نقل قوة الجاذبية على المستوى الكمي؟,الفوتون,الجلاون,الجرافيتون,البوزون,C
ما هو مبدأ هولوغرافي؟,الفضاء رباعي الأبعاد يمكن وصفه بمعلومات على سطحه,الزمان خطي يمكن وصفه بمعلومات على نهايته,الأشكال الهندسية يمكن وصفها بمعلومات على حدودها,القوى الأساسية يمكن وصفها بمعلومات على مصادرها,A
من وضع نظرية الأوتار الفائقة؟,ألبرت أينشتاين,ريتشارد فاينمان,إدوارد ويتن,جوان مالداكينا,D
ما هو البُعد الأساسي الذي تتكون منه الأوتار الفائقة؟,البُعد الزمني,البُعد الفضائي,البُعد السردي,البُعد النظري,B
ما هو الاستخدام الرئيسي لنظرية الأوتار الفائقة في الفيزياء؟,توحيد الفيزياء,دراسة الثقوب السوداء,تفسير الظواهر الكمومية,دراسة الانفجارات النووية,A
من هو الفيزيائي الذي وضع نظرية الأوتار الفائقة؟,ألبرت أينشتاين,ريتشارد فاينمان,إدوارد ويتن,جوان مالداكينا,D
ما هي البُعدية التي يتم تصورها في نظرية الأوتار الفائقة؟,11 بُعدًا,12 بُعدًا,10 بُعدًا,9 بُعدًا,C
ما هو المفهوم الرئيسي لنظرية الأوتار الفائقة؟,وجود أوتار رفيعة جدًا في الفضاء والزمن,وجود ثقوب سوداء في الكون,التفسير الكمومي للظواهر الطبيعية,توحيد القوى الأساسية,A
ما هو التطبيق الرئيسي لنظرية الأوتار الفائقة في الفيزياء النظرية؟,فهم هيكل الذرات,توحيد القوى الأساسية,تفسير الظواهر السردية,دراسة الفيزياء الكمومية,B
ما هو النموذج الذي يستخدم في نظرية الأوتار الفائقة لوصف الجسيمات والقوى بينها؟,النموذج النيوتني,النموذج الكمومي,النموذج السوبر سترنغ,النموذج الواحد,D
ما هو مفهوم فيزياء الجسيمات؟,دراسة حركة الأجسام الدقيقة,دراسة سلوك الأجسام الكبيرة,دراسة تفاعلات الجسيمات الأولية والقوى بينها,دراسة حركة الأجسام الكبيرة في الكون,C
ما هو الهدف الرئيسي من فيزياء الجسيمات؟,فهم بنية الذرة,توحيد النظريات الفيزيائية,فهم تفاعلات الجسيمات الأولية والقوى بينها,دراسة الفيزياء النظرية,C
ما هي القوى الرئيسية التي تتعامل معها فيزياء الجسيمات؟,الثقوب السوداء,الجاذبية والكهرومغناطيسية والنووية الضعيفة والنووية القوية,الإشعاع الكهرومغناطيسي,الانحراف النووي,B
من هو العالم الذي اقترح أول نموذج للذرة وأسس أساساً لفيزياء الجسيمات؟,نيلز بور,إرنست رذرفورد,دومينيك مونتوي,أنطوان لوران,A
ما هو الجسيم الأول الذي اكتشف بواسطة تسريع الجسيمات في تجارب فيزياء الجسيمات؟,الإلكترون,البروتون,النيوترون,الموجة,A
ما هي الآلة التي يستخدمها العلماء في دراسة تفاعلات الجسيمات الأولية؟,ميكروسكوب,المحطة الفضائية الدولية,المسرع الجسيمات,التلسكوب الفضائي,C
من المشهور بصياغة قوانين حركة الأجسام والنظريات الفيزيائية الأولية التي قادت إلى تطور فيزياء الجسيمات؟,آينشتاين,نيوتن,فاراداي,جاليليو,B
ما هو الجسيم الذي يُعتبر الحامل للقوى النووية الضعيفة؟,البروتون,الإلكترون,الجلوكون,البوزون الزاجر,D
ما هي التقنية التي تستخدمها فيزياء الجسيمات لاكتشاف ودراسة الجسيمات الفيزيائية؟,الطيفية الكتلية,التصوير بالإشعاع السيني,التصوير بالمجهر الإلكتروني,التسريع بالجسيمات,D
ما هي الوحدة التي يتم قياس شحنة الجسيمات بها؟,الفولت,الأمبير,الكولومب,الواط,C
ما هو الجسيم الذي يعتبر الحامل الرئيسي للكهرومغناطيسية؟,النيوترون,الإلكترون,الجلوكون,البوزون الفوتون,D
ما هو تعريف علم البصريات؟,دراسة الطيف المرئي والموجات الكهرومغناطيسية المشابهة,دراسة كيفية تفاعل الضوء مع المادة,دراسة كيفية انتشار الضوء,دراسة كيفية استخدام الضوء في التكنولوجيا,A
من هو مؤسس علم البصريات؟,أرسطو,ابن الهيثم,إسحاق نيوتن,رينيه ديكارت,B
ما هي إحدى النظريات التي طورها نيوتن في البصريات؟,نظرية الموجة,نظرية الجسيم,نظرية الانكسار,نظرية الانعكاس,B
ما هو الفرع من البصريات الذي يدرس انتشار الضوء باستخدام الأشعة؟,البصريات الهندسية,البصريات الفيزيائية,البصريات الكمومية,البصريات غير الخطية,A
ما هو أحد التطبيقات الحديثة لعلم البصريات؟,اتصالات الألياف الضوئية,الأشعة السينية,الليزر,جميع ما ذكر,D
ما هو مفهوم التضخم في نظرية الانفجار العظيم؟,فترة زمنية قصيرة جدًا في بداية الكون حيث توسع بشكل كبير,فترة زمنية طويلة جدًا في بداية الكون حيث كان الكون صغيرًا جدًا,فترة زمنية طويلة جدًا في نهاية الكون حيث سينهار الكون,فترة زمنية قصيرة جدًا في نهاية الكون حيث سيتوسع الكون بشكل كبير,A
ما هو الفرق بين نموذج الانفجار العظيم ونماذج الكون األخرى؟,تنص نظرية الانفجار العظيم على أن الكون بدأ من نقطة واحدة، بينما تقترح نماذج أخرى أنه بدأ من نقاط متعددة,تنص نظرية الانفجار العظيم على أن الكون يتوسع، بينما تقترح نماذج أخرى أنه يتقلص,تنص نظرية الانفجار العظيم على أن الكون كان ساخنًا جدًا وكثيفًا في بدايته، بينما تقترح نماذج أخرى أنه كان باردًا وخفيفًا,ليس هناك فرق بين نظرية الانفجار العظيم ونماذج الكون األخرى,A
ما هي إحدى المشاكل التي تواجه نظرية الانفجار العظيم؟,مشكلة أفق الكون,مشكلة تسطيح الكون,مشكلة أحادية القطب المغناطيسي,كل ما ذكر,D
ما هو أحد الأدلة الرئيسية التي تدعم نظرية الانفجار العظيم؟,إشعاع الخلفية الكونية الميكروي,وفرة العناصر الخفيفة,تمدد الكون,كل ما ذكر,D
ما هو مصير الكون وفقًا لنظرية الانفجار العظيم؟,التجمد الكبير,الموت الحراري,التمزق العظيم,ليس من الممكن معرفة مصير الكون وفقًا لنظرية االنفجار العظيم,B
ما هي المادة المظلمة؟,مادة لا يمكن اكتشافها بالطرق العادية,مادة موجودة في الكون ولكنها غير مرئية,مادة تشكل معظم كتلة الكون,ليس من الممكن معرفة ما هي المادة المظلمة,C
ما هي النظرية السائدة لتفسير نشأة وتطور الكون؟,نظرية النسبية العامة,نظرية الانفجار العظيم,نظرية الكون الدوار,نظرية الحالة الثابتة,B
ما هو أحد أقدم الأدلة التي تدعم نظرية الانفجار العظيم؟,قانون هابل,إشعاع الخلفية الكونية الميكروي,وفرة العناصر الخفيفة,تمدد الكون,C
ما هو مفهوم علم البصريات؟,دراسة الظواهر الضوئية وانتشار الضوء,دراسة الظواهر الصوتية وانتشار الصوت,دراسة التيارات الهوائية وتأثيرها على الطقس,دراسة الحركة والسرعة للجسيمات الصغيرة,A
ما هو العلم الذي يدرس تكوين الصور في العيون؟,علم الوراثة,علم الفلك,علم الأحياء,علم البصريات,D
ما هو التطبيق الرئيسي لعلم البصريات؟,تطوير الأجهزة الإلكترونية,تصميم الهياكل المعمارية,تصنيع الأدوات الجراحية,تصميم الأدوات البصرية والأنظمة البصرية,D
ما هو تطبيق علم البصريات في صناعة الكاميرات؟,تصنيع العدسات المقربة,تطوير أجهزة الشحن الشمسي,تصنيع الإطارات البلاستيكية,تطوير أجهزة الطباعة ثلاثية الأبعاد,A
ما هو المبدأ الأساسي لعمل العدسات البصرية؟,تقديم الضوء بزاوية معينة,توجيه الضوء ليصطدم بالعدسة بزاوية معينة,تصفية الأشعة الضوئية بزاوية معينة,تعزيز سرعة انتقال الضوء,B
ما هي عدسات الشيء؟,العدسات التي تقلل من زاوية الرؤية,العدسات التي تجمع الضوء في نقطة محددة,العدسات التي تزيد من سرعة انتقال الضوء,العدسات التي تصفية الأشعة الضوئية,B
ما هو الظاهرة التي تحدث عند مرور الضوء من وسط معتدل إلى وسط آخر؟,التوصيل الحراري,الانكسار,الانعكاس,التشتيت,B
ما هي العدسة التي تجمع الضوء في نقطة محددة تسمى؟,عدسة مقربة,عدسة ضوئية,عدسة منفرجة,عدسة منتشرة,A
ما هي العدسة التي تفتت الضوء إلى ألوانه المكونة؟,عدسة قريبة,عدسة منتشرة,عدسة مقربة,عدسة طيفية,D
ما هو الجزء المسؤول في العين عن تحويل الضوء إلى إشارات عصبية؟,القرنية,العدسة,الشبكية,الزرقاء,C
ما هي العدسة التي تقلل من زاوية الرؤية تسمى؟,عدسة مقربة,عدسة محولة,عدسة منتشرة,عدسة متقاربة,D
ما هي الطاقة المظلمة؟,نوع من الطاقة النشطة في الفضاء الخارجي,تسمية للطاقة التي لا تستطيع العلماء قياسها أو رؤيتها,تسمية للطاقة الموجودة في الأشعة فوق البنفسجية,نوع من الطاقة النشطة داخل الأرض,B
ما هو دور الطاقة المظلمة في الكون؟,توفير الطاقة اللازمة للحفاظ على حياة الكواكب,توفير الطاقة الكافية لتشكيل النجوم والمجرات,تسريع تمدد الكون,تحديد الشكل النهائي للكون ومصيره,C
ما هو تأثير الطاقة المظلمة على التشكيلات الكونية؟,تسببها في انفجارات نووية ضارة,تسريع تمدد الكون,تجميد الكون وتوقف حركته,تقليل حجم الكون بشكل كبير,B
ما هي توقعات العلماء بشأن الطاقة المظلمة؟,توقعات بأن الطاقة المظلمة ستنفذ قريباً,توقعات بأن الطاقة المظلمة ستؤدي إلى انهيار الكون,توقعات بأن الطاقة المظلمة قد تكون دليلاً على وجود أبعاد أخرى للكون,توقعات بأن الطاقة المظلمة ستتحول إلى طاقة ذات استخدام يومي,C
ما هي أهمية فهم الطاقة المظلمة؟,فهم كيفية تكوين النجوم والمجرات,فهم تاريخ ومصير الكون,تطوير تكنولوجيا لاستخدام الطاقة المظلمة في الحياة اليومية,تحديد أفضل الأماكن لبناء المستعمرات الفضائية,B
ما هي النتائج المتوقعة لأبحاث الطاقة المظلمة؟,فهم تشكيل الكون وتطوره بشكل أفضل,إيجاد طرق لتوليد الطاقة من الكون الداخلي,تحديد أفضل الطرق للسفر بسرعات فائقة في الفضاء,إنشاء أسلحة جديدة قادرة على السيطرة على الكون,A
ما هو مصدر الاسم 'الطاقة المظلمة'؟,تسميتها بهذا الاسم نتيجة لكونها مجهولة وغامضة,تسميتها بهذا الاسم نتيجة لقوة جذبها للأشعة الضوئية,تسميتها بهذا الاسم نتيجة لكونها مسؤولة عن الظلام في الكون,تسميتها بهذا الاسم نتيجة لتأثيرها السلبي على الحياة الكونية,A
ما هي الفرضيات المحتملة لطبيعة الطاقة المظلمة؟,تكون الطاقة المظلمة عبارة عن جسيمات فضائية متناثرة,تكون الطاقة المظلمة عبارة عن طاقة ناتجة عن انفجارات نجومية,تكون الطاقة المظلمة عبارة عن طاقة متسربة من الأبعاد الأخرى,تكون الطاقة المظلمة عبارة عن طاقة منشأة من الإشعاع الكوني,C
ما هي الدراسات والتجارب التي تهتم بالطاقة المظلمة؟,تجارب تستخدم الأشعة السينية لرصد الطاقة المظلمة,تجارب تهدف إلى توليد الطاقة المظلمة في المختبرات,دراسات تحاول فهم تأثيرات الطاقة المظلمة على تكوين المجرات,تجارب تستخدم الأشعة فوق البنفسجية لتحليل تراكيب الطاقة المظلمة,C
ما هو تأثير الطاقة المظلمة على تمدد الكون؟,تقليل سرعة تمدد الكون,توسيع الكون بشكل أسرع,تحديد شكل الكون وحجمه بدقة,تقليل حجم الكون وتكوين نجوم جديدة بشكل أسرع,B
ما هي الأدلة الرئيسية على وجود الطاقة المظلمة؟,تحرك الأجرام السماوية بشكل غير مفهوم,انخفاض درجات الحرارة في الفضاء الخارجي,زيادة تأثيرات الجاذبية في الكون المحلي,تغيرات في خصائص الضوء المنبعث من الكواكب,A
