question,A,B,C,D,answer
ما نسبة سكان العالم الذين يعيشون في المناطق الحضرية؟,50٪,60٪,70٪,80٪,B
ما هي أكبر دولة في العالم من حيث عدد السكان؟,الصين,الهند,الولايات المتحدة,روسيا,A
ما هي أكثر مدينة اكتظاظًا بالسكان في العالم؟,طوكيو,مومباي,دلهي,نيويورك,A
ما هي أكثر لغة منطوقة في العالم؟,الإنجليزية,الصينية,الإسبانية,العربية,B
ما هي أكثر ديانة منتشرة في العالم؟,المسيحية,الإسلام,البوذية,الهندوسية,A
ما هي أكثر دولة مسلمة في العالم؟,إندونيسيا,باكستان,بنغلاديش,الهند,A
ما هي أكثر دولة هندوسية في العالم؟,الهند,نيبال,بنغلاديش,سريلانكا,A
ما هو نوع تكاثر الخلايا الذي ينتج عنه نسل يحمل نصف الصبغيات الموجودة في الخلية الأصلية؟,الانقسام المتساوي,الانقسام الاختزالي,الانقسام الثنائي,الإخصاب,B
ما هو نوع الخلية التي تحتوي على عدد مضاعف من الصبغيات؟,خلية جرثومية,خلية جذعية,خلية حقيقية النواة,خلية بدائية النواة,C
ما هو نوع الخلية التي لا تحتوي على نواة؟,خلية جرثومية,خلية جذعية,خلية بدائية النواة,خلية حقيقية النواة,C
ما هو نوع الكائن الحي الذي يحتوي على جدار خلوي؟,حيوان,نبات,فطر,بكتيريا,B
ما هو نوع الكائن الحي الذي يحتوي على بلاستيدات خضراء؟,حيوان,نبات,فطر,بكتيريا,B
ما هو نوع الكائن الحي الذي يحتوي على جدار خلوي وبلاستيدات خضراء؟,حيوان,نبات,فطر,بكتيريا,B
ما هو نوع الكائن الحي الذي لا يحتوي على جدار خلوي وبلاستيدات خضراء؟,حيوان,نبات,فطر,بكتيريا,A
ما هو نوع الكائن الحي الذي يحتوي على جدار خلوي ولكنه لا يحتوي على بلاستيدات خضراء؟,حيوان,نبات,فطر,بكتيريا,D
ما هو نوع الكائن الحي الذي لا يحتوي على جدار خلوي ولكنه يحتوي على بلاستيدات خضراء؟,حيوان,نبات,فطر,بكتيريا,C
ما هي وظيفة البلاستيدات الخضراء؟,تخزين الغذاء,إنتاج الطاقة,التنفس الخلوي,إنتاج البروتين,B
ما هي وظيفة جدار الخلية؟,تخزين الغذاء,إنتاج الطاقة,حماية الخلية,إنتاج البروتين,C
ما هو نوع الخلية التي لها شكل غير منتظم؟,خلية نباتية,خلية حيوانية,خلية بكتيرية,خلية فطرية,B
ما هو نوع الخلية التي لها شكل مكعب؟,خلية نباتية,خلية حيوانية,خلية بكتيرية,خلية فطرية,C
أي مما يلي ليس عضية خلوية؟,الريبوسوم,الميتوكوندريا,الشبكة الإندوبلازمية,النواة,D
أي مما يلي هو نوع من النقل السلبي؟,الانتشار,التناضح,النقل النشط,التغليف الخلوي,A
أي مما يلي هو نوع من النقل النشط؟,الانتشار,التناضح,النقل النشط,التغليف الخلوي,C
ما هي وظيفة التغليف الخلوي؟,إدخال المواد إلى الخلية,إخراج المواد من الخلية,إنتاج الطاقة,تخزين المواد الغذائية,A
ما هي وظيفة الريبوسوم؟,إنتاج البروتين,إنتاج الطاقة,تخزين المواد الغذائية,حماية الخلية,A
ما هي وظيفة الميتوكوندريا؟,إنتاج الطاقة,تخزين المواد الغذائية,إنتاج البروتين,حماية الخلية,A
ما هو المغزل الانقسامي؟,بنية خيطية تتكون من بروتينات وتساعد في فصل الصبغيات أثناء الانقسام الخلوي,بنية خيطية تتكون من بروتينات وتساعد في نقل المواد عبر الخلية,بنية خيطية تتكون من بروتينات وتساعد في تخزين المواد الغذائية,بنية خيطية تتكون من بروتينات وتساعد في حماية الخلية,A
أي مما يلي ينتج عنه نسل وراثي متنوع؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو نوع التكاثر الذي ينتج عنه نسل متطابق وراثيًا؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,A
ما هو نوع التكاثر الذي يحدث في الكائنات حقيقية النواة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو نوع التكاثر الذي يحدث في الكائنات بدائية النواة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,D
ما هو نوع التكاثر الذي ينتج عنه خلايا جديدة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,C
ما هو نوع التكاثر الذي يحدث عندما ينقسم فرد واحد إلى فردين؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,C
ما هو نوع التكاثر الذي ينتج عنه بيضة مخصبة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو نوع التكاثر الذي ينتج عنه بذرة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو نوع التكاثر الذي ينتج عنه جنين؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
أي مما يلي هو نوع من التكاثر اللاجنسي؟,الانقسام الثنائي,التبرعم,التجزؤ,التكاثر الخضري,A
أي مما يلي هو نوع من التكاثر الجنسي؟,الإخصاب,التلقيح,التزاوج,الولادة,A
أي مما يلي هو نوع من التكاثر الخضري؟,العقل,الترقيد,التطعيم,التكاثر بالبذور,A
ما هي وظيفة الزهرة؟,إنتاج البذور,إنتاج حبوب اللقاح,إنتاج الرحيق,جذب الحشرات,A
ما هي وظيفة حبوب اللقاح؟,إنتاج البذور,إنتاج حبوب اللقاح,إنتاج الرحيق,جذب الحشرات,B
ما هي وظيفة الرحيق؟,إنتاج البذور,إنتاج حبوب اللقاح,إنتاج الرحيق,جذب الحشرات,D
ما هي وظيفة الحشرات في التلقيح؟,نقل حبوب اللقاح من زهرة إلى أخرى,إنتاج البذور,إنتاج حبوب اللقاح,إنتاج الرحيق,A
ما هي مراحل دورة حياة النبات؟,البذرة والشتلة والنبات الناضج,الجنين والشتلة والنبات الناضج,البذرة والأوراق والزهور,الشتلة والأوراق والزهور,A
ما هي مراحل دورة حياة الإنسان؟,الجنين والطفل والبالغ,الطفل والبالغ والعجوز,الجنين والطفل والمراهق,الطفل والمراهق والبالغ,A
ما هي مراحل دورة حياة الفراشة؟,البيضة واليرقة والعذراء والفراشة,اليرقة والعذراء والفراشة والبيضة,البيضة والفراشة واليرقة والعذراء,العذراء والفراشة والبيضة واليرقة,A
